#{"t_start": 1772812606.729522, "env_id": "Meta-World/MT1"}
r,l,t,s,success
4611.681017,500,1144.060426,1.0,1.0
48.396311,500,1145.981673,0,0.0
30.28419,500,1147.827207,0,0.0
26.793825,500,1149.633632,0,0.0
58.343427,500,1151.444459,0,0.0
56.754378,500,1153.310086,0,0.0
110.132278,500,1155.164233,0,0.0
4720.971709,500,1156.962796,1.0,1.0
15.31155,500,1158.85535,0,0.0
14.53784,500,1160.659425,0,0.0
4701.233876,500,1162.510976,1.0,1.0
15.703849,500,1164.373104,0,0.0
15.40177,500,1166.161046,0,0.0
78.004191,500,1167.966547,0,0.0
56.064926,500,1169.793754,1.0,0.0
4266.617424,500,1171.60518,1.0,1.0
91.203801,500,1173.403665,1.0,0.0
2145.907607,500,1175.229216,1.0,0.0
18.995709,500,1177.035265,0,0.0
556.159801,500,1178.840049,1.0,1.0
31.047717,500,1180.66501,0,0.0
4641.123222,500,1182.512541,1.0,1.0
94.092923,500,1184.319727,1.0,0.0
103.728535,500,1186.132207,0,0.0
98.493017,500,1187.947635,1.0,0.0
1402.11076,500,1189.79051,1.0,0.0
3903.028786,500,1191.590707,1.0,1.0
120.883883,500,1193.455185,0,0.0
89.40158,500,1195.267819,1.0,0.0
57.581138,500,1197.082293,0,0.0
747.331971,500,1198.934439,1.0,0.0
4550.473665,500,1200.739322,1.0,1.0
65.45243,500,1202.625651,0,0.0
68.361219,500,1204.41652,0,0.0
641.043745,500,1206.261026,0,0.0
172.541065,500,1208.83099,1.0,0.0
322.944584,500,1210.702526,1.0,0.0
3984.534277,500,1212.503979,1.0,1.0
4035.812429,500,1214.321574,1.0,1.0
2487.434402,500,1216.146358,1.0,1.0
3253.457944,500,1218.000568,1.0,1.0
32.524746,500,1219.821247,0,0.0
53.284669,500,1221.685387,0,0.0
1036.522803,500,1223.507358,1.0,0.0
47.861645,500,1225.340746,0,0.0
52.943755,500,1227.171055,0,0.0
60.654679,500,1229.014282,0,0.0
4301.230991,500,1230.990621,1.0,1.0
4641.200388,500,1232.903048,1.0,1.0
48.410235,500,1234.738595,0,0.0
23.591311,500,1236.725773,0,0.0
53.226872,500,1238.60922,0,0.0
20.782303,500,1240.380411,0,0.0
33.202909,500,1242.274984,0,0.0
121.398619,500,1244.209518,1.0,0.0
428.512706,500,1246.098666,1.0,0.0
212.207101,500,1247.952945,1.0,0.0
849.461816,500,1249.863619,1.0,1.0
64.779507,500,1251.797635,0,0.0
